city_name,average_aqi,max_aqi,min_aqi,days_recorded,unhealthy_percentage,very_unhealthy_percentage,hazardous_percentage
Lahore,175.88,538.0,73.0,1089,77.69,21.85,0.83
Faisalabad,175.08,437.0,78.0,1089,72.64,18.82,3.86
Gujranwala,163.07,355.0,69.0,1089,65.84,12.58,0.46
Multan,156.73,340.0,64.0,1089,54.91,14.05,0.83
Sialkot,156.27,326.0,73.0,1089,60.24,8.45,0.28
Islamabad,136.14,218.0,72.0,1089,40.31,1.74,0.0
Rawalpindi,136.14,218.0,72.0,1089,40.31,1.74,0.0
Bahawalpur,134.3,327.0,57.0,1089,36.82,4.22,0.09
Peshawar,133.56,228.0,63.0,1089,34.62,2.2,0.0
Karachi,102.72,297.0,52.0,1089,10.56,2.3,0.0
Hyderabad,98.14,185.0,53.0,1089,7.81,0.0,0.0
Quetta,83.3,319.0,44.0,1089,2.85,0.55,0.09
