city_name,rows,average_aqi,median_aqi,minimum_aqi,maximum_aqi,std_aqi,unhealthy_days,very_unhealthy_days,hazardous_days,rank
Lahore,1089,175.88,173.0,73.0,538.0,41.94,846,238,9,1
Faisalabad,1089,175.08,165.0,78.0,437.0,50.39,791,205,42,2
Gujranwala,1089,163.07,160.0,69.0,355.0,38.23,717,137,5,3
Multan,1089,156.73,153.0,64.0,340.0,45.11,598,153,9,4
Sialkot,1089,156.27,156.0,73.0,326.0,35.76,656,92,3,5
Islamabad,1089,136.14,139.0,72.0,218.0,32.99,439,19,0,6
Rawalpindi,1089,136.14,139.0,72.0,218.0,32.99,439,19,0,7
Bahawalpur,1089,134.3,130.0,57.0,327.0,38.85,401,46,1,8
Peshawar,1089,133.56,135.0,63.0,228.0,32.24,377,24,0,9
Karachi,1089,102.72,92.0,52.0,297.0,36.45,115,25,0,10
Hyderabad,1089,98.14,93.0,53.0,185.0,27.45,85,0,0,11
Quetta,1089,83.3,78.0,44.0,319.0,27.57,31,6,1,12
