model,rows,mae,rmse,r2,within_10,within_20,within_30
Production XGBoost,2616,13.4164,18.795,0.8439,50.69,78.33,90.98
BASE_XGBOOST,2616,13.416363859030811,18.794956726072314,0.8438757674367355,,,
DELTA_ONLY,2616,13.614694832787768,18.996249519965072,0.8405136983117363,,,
BASE_DELTA_0.10,2616,13.377640311052907,18.72243850738168,0.8450782186434291,,,
BASE_DELTA_0.20,2616,13.352686634964636,18.670368352482622,0.8459387458236354,,,
BASE_DELTA_0.30,2616,13.338963250758235,18.638917634858004,0.8464573489773541,,,
BASE_DELTA_0.40,2616,13.337796220091342,18.62819079265606,0.8466340281045854,,,
BASE_DELTA_0.50,2616,13.347787975614478,18.6382236074984,0.8464687832053293,,,
BASE_DELTA_0.60,2616,13.374353469655702,18.66898261035037,0.8459616142795856,,,
BASE_DELTA_0.70,2616,13.41528048408845,18.720365637320164,0.8451125213273545,,,
BASE_DELTA_0.80,2616,13.46654789935426,18.79220351399192,0.8439215043486358,,,
BASE_DELTA_0.90,2616,13.534579134223808,18.884262804106548,0.8423885633434298,,,
