city_name,year,month,month_name,average_aqi,minimum_aqi,maximum_aqi,days
Bahawalpur,2023,1,January,158.21,117.0,191.0,24
Bahawalpur,2023,2,February,145.0,111.0,171.0,28
Bahawalpur,2023,3,March,100.32,72.0,156.0,31
Bahawalpur,2023,4,April,109.07,79.0,153.0,30
Bahawalpur,2023,5,May,114.87,69.0,183.0,31
Bahawalpur,2023,6,June,90.73,57.0,163.0,30
Bahawalpur,2023,7,July,120.39,67.0,166.0,31
Bahawalpur,2023,8,August,150.84,103.0,222.0,31
Bahawalpur,2023,9,September,90.87,65.0,143.0,30
Bahawalpur,2023,10,October,120.94,83.0,156.0,31
Bahawalpur,2023,11,November,165.83,94.0,204.0,30
Bahawalpur,2023,12,December,175.77,152.0,219.0,31
Bahawalpur,2024,1,January,184.77,150.0,227.0,31
Bahawalpur,2024,2,February,130.14,85.0,161.0,29
Bahawalpur,2024,3,March,110.42,81.0,150.0,31
Bahawalpur,2024,4,April,112.0,82.0,151.0,30
Bahawalpur,2024,5,May,127.0,96.0,158.0,31
Bahawalpur,2024,6,June,128.47,69.0,269.0,30
Bahawalpur,2024,7,July,144.71,90.0,254.0,31
Bahawalpur,2024,8,August,93.0,67.0,168.0,31
Bahawalpur,2024,9,September,110.2,81.0,138.0,30
Bahawalpur,2024,10,October,129.45,85.0,174.0,31
Bahawalpur,2024,11,November,187.97,107.0,327.0,30
Bahawalpur,2024,12,December,186.87,121.0,237.0,31
Bahawalpur,2025,1,January,187.65,138.0,242.0,31
Bahawalpur,2025,2,February,142.43,100.0,175.0,28
Bahawalpur,2025,3,March,111.42,72.0,155.0,31
Bahawalpur,2025,4,April,144.8,91.0,180.0,30
Bahawalpur,2025,5,May,135.77,62.0,201.0,31
Bahawalpur,2025,6,June,121.47,72.0,178.0,30
Bahawalpur,2025,7,July,122.03,86.0,174.0,31
Bahawalpur,2025,8,August,117.03,85.0,157.0,31
Bahawalpur,2025,9,September,92.47,61.0,133.0,30
Bahawalpur,2025,10,October,131.35,70.0,205.0,31
Bahawalpur,2025,11,November,161.53,93.0,210.0,30
Bahawalpur,2025,12,December,182.9,124.0,286.0,31
Faisalabad,2023,1,January,191.17,120.0,284.0,24
Faisalabad,2023,2,February,163.57,107.0,211.0,28
Faisalabad,2023,3,March,137.58,102.0,164.0,31
Faisalabad,2023,4,April,129.97,95.0,186.0,30
Faisalabad,2023,5,May,151.06,112.0,191.0,31
Faisalabad,2023,6,June,150.93,92.0,193.0,30
Faisalabad,2023,7,July,162.58,110.0,201.0,31
Faisalabad,2023,8,August,153.16,124.0,188.0,31
Faisalabad,2023,9,September,150.6,78.0,201.0,30
Faisalabad,2023,10,October,157.55,97.0,200.0,31
Faisalabad,2023,11,November,190.2,153.0,262.0,30
Faisalabad,2023,12,December,214.42,157.0,319.0,31
Faisalabad,2024,1,January,268.13,193.0,318.0,31
Faisalabad,2024,2,February,165.93,124.0,206.0,29
Faisalabad,2024,3,March,134.06,93.0,161.0,31
Faisalabad,2024,4,April,133.73,95.0,169.0,30
Faisalabad,2024,5,May,158.45,101.0,214.0,31
Faisalabad,2024,6,June,157.77,117.0,205.0,30
Faisalabad,2024,7,July,169.06,122.0,206.0,31
Faisalabad,2024,8,August,142.55,81.0,204.0,31
Faisalabad,2024,9,September,168.13,109.0,206.0,30
Faisalabad,2024,10,October,163.94,140.0,186.0,31
Faisalabad,2024,11,November,229.97,154.0,358.0,30
Faisalabad,2024,12,December,253.29,153.0,383.0,31
Faisalabad,2025,1,January,256.68,157.0,368.0,31
Faisalabad,2025,2,February,177.04,123.0,239.0,28
Faisalabad,2025,3,March,144.94,109.0,190.0,31
Faisalabad,2025,4,April,168.27,108.0,212.0,30
Faisalabad,2025,5,May,196.55,157.0,437.0,31
Faisalabad,2025,6,June,174.37,120.0,306.0,30
Faisalabad,2025,7,July,156.1,86.0,194.0,31
Faisalabad,2025,8,August,146.32,91.0,185.0,31
Faisalabad,2025,9,September,133.07,79.0,183.0,30
Faisalabad,2025,10,October,178.9,124.0,272.0,31
Faisalabad,2025,11,November,218.9,127.0,288.0,30
Faisalabad,2025,12,December,253.0,172.0,341.0,31
Gujranwala,2023,1,January,192.46,150.0,274.0,24
Gujranwala,2023,2,February,161.32,107.0,205.0,28
Gujranwala,2023,3,March,143.61,106.0,161.0,31
Gujranwala,2023,4,April,127.77,87.0,182.0,30
Gujranwala,2023,5,May,144.32,107.0,193.0,31
Gujranwala,2023,6,June,165.97,115.0,210.0,30
Gujranwala,2023,7,July,156.74,88.0,203.0,31
Gujranwala,2023,8,August,160.26,134.0,192.0,31
Gujranwala,2023,9,September,152.13,88.0,193.0,30
Gujranwala,2023,10,October,148.16,92.0,205.0,31
Gujranwala,2023,11,November,167.93,117.0,214.0,30
Gujranwala,2023,12,December,184.71,148.0,241.0,31
Gujranwala,2024,1,January,220.03,157.0,249.0,31
Gujranwala,2024,2,February,145.86,99.0,182.0,29
Gujranwala,2024,3,March,117.71,80.0,158.0,31
Gujranwala,2024,4,April,128.67,91.0,178.0,30
Gujranwala,2024,5,May,157.77,106.0,206.0,31
Gujranwala,2024,6,June,155.7,96.0,206.0,30
Gujranwala,2024,7,July,170.68,130.0,205.0,31
Gujranwala,2024,8,August,138.32,81.0,201.0,31
Gujranwala,2024,9,September,158.9,112.0,193.0,30
Gujranwala,2024,10,October,163.26,95.0,205.0,31
Gujranwala,2024,11,November,212.2,121.0,355.0,30
Gujranwala,2024,12,December,207.39,150.0,287.0,31
Gujranwala,2025,1,January,216.39,149.0,302.0,31
Gujranwala,2025,2,February,155.04,85.0,203.0,28
Gujranwala,2025,3,March,130.16,90.0,196.0,31
Gujranwala,2025,4,April,161.03,104.0,215.0,30
Gujranwala,2025,5,May,187.29,140.0,338.0,31
Gujranwala,2025,6,June,165.67,114.0,201.0,30
Gujranwala,2025,7,July,153.55,90.0,191.0,31
Gujranwala,2025,8,August,137.1,78.0,176.0,31
Gujranwala,2025,9,September,133.27,69.0,189.0,30
Gujranwala,2025,10,October,167.29,105.0,218.0,31
Gujranwala,2025,11,November,183.27,105.0,217.0,30
Gujranwala,2025,12,December,201.9,153.0,251.0,31
Hyderabad,2023,1,January,131.38,88.0,171.0,24
Hyderabad,2023,2,February,114.82,79.0,160.0,28
Hyderabad,2023,3,March,89.03,62.0,113.0,31
Hyderabad,2023,4,April,91.57,59.0,133.0,30
Hyderabad,2023,5,May,80.74,55.0,124.0,31
Hyderabad,2023,6,June,69.67,53.0,103.0,30
Hyderabad,2023,7,July,85.77,66.0,122.0,31
Hyderabad,2023,8,August,68.35,58.0,81.0,31
Hyderabad,2023,9,September,84.03,57.0,154.0,30
Hyderabad,2023,10,October,88.58,67.0,122.0,31
Hyderabad,2023,11,November,138.37,83.0,185.0,30
Hyderabad,2023,12,December,121.06,85.0,170.0,31
Hyderabad,2024,1,January,135.81,98.0,157.0,31
Hyderabad,2024,2,February,99.1,76.0,124.0,29
Hyderabad,2024,3,March,93.16,66.0,112.0,31
Hyderabad,2024,4,April,97.83,63.0,138.0,30
Hyderabad,2024,5,May,92.48,56.0,137.0,31
Hyderabad,2024,6,June,84.4,63.0,122.0,30
Hyderabad,2024,7,July,92.77,75.0,122.0,31
Hyderabad,2024,8,August,73.55,60.0,99.0,31
Hyderabad,2024,9,September,75.63,61.0,105.0,30
Hyderabad,2024,10,October,89.48,54.0,121.0,31
Hyderabad,2024,11,November,100.37,67.0,150.0,30
Hyderabad,2024,12,December,131.61,83.0,173.0,31
Hyderabad,2025,1,January,133.61,81.0,162.0,31
Hyderabad,2025,2,February,100.14,71.0,150.0,28
Hyderabad,2025,3,March,102.52,66.0,137.0,31
Hyderabad,2025,4,April,109.17,82.0,153.0,30
Hyderabad,2025,5,May,88.45,59.0,122.0,31
Hyderabad,2025,6,June,87.33,72.0,120.0,30
Hyderabad,2025,7,July,83.35,73.0,94.0,31
Hyderabad,2025,8,August,78.19,68.0,97.0,31
Hyderabad,2025,9,September,75.7,54.0,103.0,30
Hyderabad,2025,10,October,104.68,54.0,146.0,31
Hyderabad,2025,11,November,118.8,88.0,162.0,30
Hyderabad,2025,12,December,129.48,62.0,167.0,31
Islamabad,2023,1,January,151.29,120.0,174.0,24
Islamabad,2023,2,February,140.57,105.0,170.0,28
Islamabad,2023,3,March,114.65,88.0,146.0,31
Islamabad,2023,4,April,104.6,74.0,156.0,30
Islamabad,2023,5,May,128.94,94.0,180.0,31
Islamabad,2023,6,June,159.5,78.0,199.0,30
Islamabad,2023,7,July,157.45,103.0,211.0,31
Islamabad,2023,8,August,168.23,122.0,209.0,31
Islamabad,2023,9,September,147.73,96.0,201.0,30
Islamabad,2023,10,October,107.55,72.0,185.0,31
Islamabad,2023,11,November,100.7,73.0,158.0,30
Islamabad,2023,12,December,110.84,79.0,154.0,31
Islamabad,2024,1,January,161.35,124.0,178.0,31
Islamabad,2024,2,February,102.34,84.0,153.0,29
Islamabad,2024,3,March,97.58,74.0,130.0,31
Islamabad,2024,4,April,106.3,75.0,146.0,30
Islamabad,2024,5,May,148.45,93.0,183.0,31
Islamabad,2024,6,June,169.77,104.0,203.0,30
Islamabad,2024,7,July,169.42,101.0,218.0,31
Islamabad,2024,8,August,128.71,72.0,194.0,31
Islamabad,2024,9,September,166.47,111.0,202.0,30
Islamabad,2024,10,October,119.9,83.0,158.0,31
Islamabad,2024,11,November,134.83,79.0,191.0,30
Islamabad,2024,12,December,141.87,89.0,182.0,31
Islamabad,2025,1,January,140.55,96.0,171.0,31
Islamabad,2025,2,February,106.61,73.0,153.0,28
Islamabad,2025,3,March,110.45,76.0,185.0,31
Islamabad,2025,4,April,143.2,86.0,206.0,30
Islamabad,2025,5,May,170.32,129.0,201.0,31
Islamabad,2025,6,June,169.23,87.0,205.0,30
Islamabad,2025,7,July,141.77,82.0,201.0,31
Islamabad,2025,8,August,141.65,82.0,205.0,31
Islamabad,2025,9,September,135.97,73.0,194.0,30
Islamabad,2025,10,October,115.0,73.0,156.0,31
Islamabad,2025,11,November,133.53,93.0,164.0,30
Islamabad,2025,12,December,153.87,122.0,172.0,31
Karachi,2023,1,January,145.42,90.0,190.0,24
Karachi,2023,2,February,174.25,86.0,288.0,28
Karachi,2023,3,March,167.0,69.0,297.0,31
Karachi,2023,4,April,110.93,64.0,218.0,30
Karachi,2023,5,May,74.77,58.0,147.0,31
Karachi,2023,6,June,82.13,60.0,259.0,30
Karachi,2023,7,July,87.81,70.0,130.0,31
Karachi,2023,8,August,69.71,60.0,86.0,31
Karachi,2023,9,September,86.83,63.0,185.0,30
Karachi,2023,10,October,93.45,68.0,164.0,31
Karachi,2023,11,November,139.1,88.0,185.0,30
Karachi,2023,12,December,113.81,78.0,170.0,31
Karachi,2024,1,January,134.55,78.0,181.0,31
Karachi,2024,2,February,103.9,67.0,144.0,29
Karachi,2024,3,March,105.29,70.0,166.0,31
Karachi,2024,4,April,85.73,60.0,140.0,30
Karachi,2024,5,May,74.19,52.0,176.0,31
Karachi,2024,6,June,81.17,62.0,125.0,30
Karachi,2024,7,July,99.58,76.0,178.0,31
Karachi,2024,8,August,75.16,60.0,99.0,31
Karachi,2024,9,September,73.3,59.0,111.0,30
Karachi,2024,10,October,97.74,57.0,173.0,31
Karachi,2024,11,November,102.0,74.0,149.0,30
Karachi,2024,12,December,118.03,85.0,160.0,31
Karachi,2025,1,January,124.65,82.0,163.0,31
Karachi,2025,2,February,102.36,74.0,150.0,28
Karachi,2025,3,March,102.0,65.0,158.0,31
Karachi,2025,4,April,95.33,62.0,160.0,30
Karachi,2025,5,May,85.61,62.0,140.0,31
Karachi,2025,6,June,89.2,70.0,125.0,30
Karachi,2025,7,July,86.52,75.0,99.0,31
Karachi,2025,8,August,83.42,68.0,116.0,31
Karachi,2025,9,September,80.93,59.0,122.0,30
Karachi,2025,10,October,116.1,56.0,159.0,31
Karachi,2025,11,November,130.33,90.0,165.0,30
Karachi,2025,12,December,119.68,79.0,154.0,31
Lahore,2023,1,January,211.83,159.0,300.0,24
Lahore,2023,2,February,172.43,120.0,209.0,28
Lahore,2023,3,March,162.0,118.0,191.0,31
Lahore,2023,4,April,146.0,97.0,201.0,30
Lahore,2023,5,May,161.81,110.0,208.0,31
Lahore,2023,6,June,181.27,140.0,213.0,30
Lahore,2023,7,July,166.35,84.0,213.0,31
Lahore,2023,8,August,180.13,140.0,208.0,31
Lahore,2023,9,September,168.1,86.0,208.0,30
Lahore,2023,10,October,155.0,96.0,205.0,31
Lahore,2023,11,November,178.6,149.0,209.0,30
Lahore,2023,12,December,197.23,153.0,272.0,31
Lahore,2024,1,January,235.23,178.0,273.0,31
Lahore,2024,2,February,155.52,114.0,203.0,29
Lahore,2024,3,March,133.61,90.0,205.0,31
Lahore,2024,4,April,138.47,94.0,177.0,30
Lahore,2024,5,May,173.13,102.0,204.0,31
Lahore,2024,6,June,172.5,122.0,215.0,30
Lahore,2024,7,July,177.87,123.0,215.0,31
Lahore,2024,8,August,146.84,77.0,205.0,31
Lahore,2024,9,September,176.83,130.0,210.0,30
Lahore,2024,10,October,166.0,104.0,203.0,31
Lahore,2024,11,November,217.6,132.0,368.0,30
Lahore,2024,12,December,209.45,134.0,308.0,31
Lahore,2025,1,January,223.77,153.0,303.0,31
Lahore,2025,2,February,164.61,94.0,221.0,28
Lahore,2025,3,March,142.84,98.0,209.0,31
Lahore,2025,4,April,178.43,140.0,213.0,30
Lahore,2025,5,May,218.06,158.0,538.0,31
Lahore,2025,6,June,192.53,113.0,397.0,30
Lahore,2025,7,July,161.87,103.0,245.0,31
Lahore,2025,8,August,147.61,76.0,205.0,31
Lahore,2025,9,September,150.97,73.0,203.0,30
Lahore,2025,10,October,172.35,107.0,204.0,31
Lahore,2025,11,November,188.47,112.0,238.0,30
Lahore,2025,12,December,211.19,151.0,262.0,31
Multan,2023,1,January,177.88,116.0,230.0,24
Multan,2023,2,February,167.0,124.0,199.0,28
Multan,2023,3,March,118.65,82.0,163.0,31
Multan,2023,4,April,124.8,96.0,159.0,30
Multan,2023,5,May,139.84,98.0,204.0,31
Multan,2023,6,June,113.2,64.0,171.0,30
Multan,2023,7,July,130.06,87.0,164.0,31
Multan,2023,8,August,139.03,89.0,172.0,31
Multan,2023,9,September,112.37,72.0,167.0,30
Multan,2023,10,October,150.94,93.0,185.0,31
Multan,2023,11,November,181.37,138.0,229.0,30
Multan,2023,12,December,193.58,150.0,235.0,31
Multan,2024,1,January,227.9,187.0,297.0,31
Multan,2024,2,February,154.03,118.0,198.0,29
Multan,2024,3,March,130.1,89.0,160.0,31
Multan,2024,4,April,123.33,85.0,159.0,30
Multan,2024,5,May,148.61,113.0,201.0,31
Multan,2024,6,June,132.5,83.0,172.0,30
Multan,2024,7,July,135.32,94.0,160.0,31
Multan,2024,8,August,109.68,76.0,152.0,31
Multan,2024,9,September,134.53,97.0,167.0,30
Multan,2024,10,October,157.39,121.0,202.0,31
Multan,2024,11,November,217.23,172.0,322.0,30
Multan,2024,12,December,225.03,154.0,326.0,31
Multan,2025,1,January,237.42,170.0,340.0,31
Multan,2025,2,February,177.79,143.0,234.0,28
Multan,2025,3,March,139.68,93.0,172.0,31
Multan,2025,4,April,155.03,115.0,197.0,30
Multan,2025,5,May,157.71,86.0,202.0,31
Multan,2025,6,June,148.57,85.0,214.0,30
Multan,2025,7,July,135.81,91.0,163.0,31
Multan,2025,8,August,132.06,94.0,158.0,31
Multan,2025,9,September,108.9,72.0,163.0,30
Multan,2025,10,October,161.68,91.0,232.0,31
Multan,2025,11,November,203.83,160.0,243.0,30
Multan,2025,12,December,243.16,182.0,318.0,31
Peshawar,2023,1,January,136.5,91.0,164.0,24
Peshawar,2023,2,February,140.68,107.0,174.0,28
Peshawar,2023,3,March,133.77,84.0,195.0,31
Peshawar,2023,4,April,131.27,87.0,202.0,30
Peshawar,2023,5,May,142.39,93.0,182.0,31
Peshawar,2023,6,June,181.67,99.0,228.0,30
Peshawar,2023,7,July,148.61,104.0,177.0,31
Peshawar,2023,8,August,153.97,125.0,182.0,31
Peshawar,2023,9,September,140.47,87.0,190.0,30
Peshawar,2023,10,October,102.16,71.0,166.0,31
Peshawar,2023,11,November,97.9,73.0,152.0,30
Peshawar,2023,12,December,115.87,78.0,160.0,31
Peshawar,2024,1,January,151.9,114.0,171.0,31
Peshawar,2024,2,February,97.07,72.0,151.0,29
Peshawar,2024,3,March,84.68,63.0,122.0,31
Peshawar,2024,4,April,94.73,65.0,144.0,30
Peshawar,2024,5,May,122.16,79.0,179.0,31
Peshawar,2024,6,June,145.13,103.0,182.0,30
Peshawar,2024,7,July,161.29,106.0,193.0,31
Peshawar,2024,8,August,118.48,70.0,193.0,31
Peshawar,2024,9,September,146.27,87.0,202.0,30
Peshawar,2024,10,October,117.52,70.0,166.0,31
Peshawar,2024,11,November,136.67,86.0,169.0,30
Peshawar,2024,12,December,138.32,95.0,177.0,31
Peshawar,2025,1,January,146.45,80.0,171.0,31
Peshawar,2025,2,February,108.79,68.0,144.0,28
Peshawar,2025,3,March,107.32,80.0,162.0,31
Peshawar,2025,4,April,127.0,74.0,184.0,30
Peshawar,2025,5,May,163.81,103.0,203.0,31
Peshawar,2025,6,June,160.8,110.0,211.0,30
Peshawar,2025,7,July,154.71,93.0,200.0,31
Peshawar,2025,8,August,139.97,103.0,168.0,31
Peshawar,2025,9,September,144.83,96.0,200.0,30
Peshawar,2025,10,October,134.35,89.0,180.0,31
Peshawar,2025,11,November,126.1,82.0,168.0,30
Peshawar,2025,12,December,152.0,117.0,178.0,31
Quetta,2023,1,January,63.67,52.0,89.0,24
Quetta,2023,2,February,61.54,48.0,86.0,28
Quetta,2023,3,March,59.71,52.0,64.0,31
Quetta,2023,4,April,84.63,64.0,108.0,30
Quetta,2023,5,May,85.26,59.0,108.0,31
Quetta,2023,6,June,84.83,64.0,131.0,30
Quetta,2023,7,July,104.06,57.0,164.0,31
Quetta,2023,8,August,101.13,66.0,143.0,31
Quetta,2023,9,September,76.3,50.0,97.0,30
Quetta,2023,10,October,67.39,49.0,97.0,31
Quetta,2023,11,November,63.67,44.0,85.0,30
Quetta,2023,12,December,55.94,45.0,74.0,31
Quetta,2024,1,January,67.42,51.0,95.0,31
Quetta,2024,2,February,66.79,49.0,95.0,29
Quetta,2024,3,March,87.87,57.0,196.0,31
Quetta,2024,4,April,80.53,53.0,102.0,30
Quetta,2024,5,May,89.13,59.0,120.0,31
Quetta,2024,6,June,93.2,61.0,132.0,30
Quetta,2024,7,July,97.39,81.0,118.0,31
Quetta,2024,8,August,82.0,47.0,108.0,31
Quetta,2024,9,September,71.57,48.0,98.0,30
Quetta,2024,10,October,62.35,51.0,86.0,31
Quetta,2024,11,November,60.77,48.0,92.0,30
Quetta,2024,12,December,84.52,52.0,152.0,31
Quetta,2025,1,January,74.74,58.0,105.0,31
Quetta,2025,2,February,81.71,64.0,116.0,28
Quetta,2025,3,March,92.81,51.0,228.0,31
Quetta,2025,4,April,112.4,64.0,319.0,30
Quetta,2025,5,May,130.84,75.0,210.0,31
Quetta,2025,6,June,110.77,89.0,150.0,30
Quetta,2025,7,July,120.48,90.0,195.0,31
Quetta,2025,8,August,100.16,81.0,139.0,31
Quetta,2025,9,September,87.3,60.0,118.0,30
Quetta,2025,10,October,87.65,64.0,260.0,31
